"","value","IdNumber","Nome","Paises","Rating","Flag","data"
"1","2165767        Abdala, Juvino                                               BRA M                                1554  0   40 1980  i   ","2165767","Abdala, Juvino","BRA","1554","i","DEC23"
"2","2111071        Abdalla Jr, Chead                                            BRA M                                1864  0   40 1958  i   ","2111071","Jr, Chead","BRA","1864","i","DEC23"
"3","2111608        Abdalla, Jose Lucas Aurelli                                  BRA M                                2115  0   20 1995  i   ","2111608","Abdalla, Jose","BRA","2115","i","DEC23"
"4","2111080        Abdalla, Luiz Guilherme Aurelli                              BRA M   FM                           2234  0   20 1991  i   ","2111080","Abdalla, Luiz","BRA","2234","i","DEC23"
"5","22721118       Abdalla, Umar Mohammad                                       BRA M                                1354  0   20 1969      ","2272111","Abdalla, Umar","BRA","1354",NA,"DEC23"
"6","2111349        Abe, Nelson                                                  BRA M                                1878  0   20 1976  i   ","2111349","Abe, Nelson","BRA","1878","i","DEC23"
"7","2104458        Abelha, Mozart Rosa                                          BRA M                                1978  0   20 1953  i   ","2104458","Abelha, Mozart","BRA","1978","i","DEC23"
"8","22794077       Abilhoa, Felipe Auer                                         BRA M                                1235  0   40 2013      ","2279407","Abilhoa, Felipe","BRA","1235",NA,"DEC23"
"9","2166089        Abilhoa, Gustavo Auer                                        BRA M                                1772  0   20 2002  i   ","2166089","Abilhoa, Gustavo","BRA","1772","i","DEC23"
"10","44720769       Abraham, Marcio                                              BRA M                                1596  0   40 1964  i   ","4472076","Abraham, Marcio","BRA","1596","i","DEC23"
"11","2139227        Abrantes, Tiago Garrido                                      BRA M                                2201  0   20 1977  i   ","2139227","Abrantes, Tiago","BRA","2201","i","DEC23"
"12","2121506        Abreu Santos, Eudismar                                       BRA M                                2120  0   20 1983  i   ","2121506","Santos, Eudismar","BRA","2120","i","DEC23"
"13","22720480       Abreu, Eduardo Jose da Silva                                 BRA M                                1403  0   40 1992  i   ","2272048","Abreu, Eduardo","BRA","1403","i","DEC23"
"14","2104830        Abreu, Guilherme Correa                                      BRA M                                1973  0   20 1967      ","2104830","Abreu, Guilherme","BRA","1973",NA,"DEC23"
"15","22749977       Abreu, Kell Alberth Lima Santos                              BRA M                                1747  0   40 1993  i   ","2274997","Abreu, Kell","BRA","1747","i","DEC23"
"16","2138883        Abreu, Marcio Marques                                        BRA M                                1816  0   40 1980  i   ","2138883","Abreu, Marcio","BRA","1816","i","DEC23"
"17","2126125        Abreu, Nilton Silva                                          BRA M                                1881  0   20 1965      ","2126125","Abreu, Nilton","BRA","1881",NA,"DEC23"
"18","2104989        Achutti, Andre                                               BRA M                                2015  0   20 1982  i   ","2104989","Achutti, Andre","BRA","2015","i","DEC23"
"19","22741437       Acioli,Luyse Victoria Gomes                                  BRA F                                1613  0   40 2006  w   ","2274143","Acioli,Luyse","BRA","1613","w","DEC23"
"20","2197448        Adelino, Ygor Carneiro                                       BRA M                                1525  0   40 1997  i   ","2197448","Adelino, Ygor","BRA","1525","i","DEC23"
"21","2101785        Agdamus, Jose Luis                                           BRA M                                2276  0   20 0000  i   ","2101785","Agdamus, Jose","BRA","2276","i","DEC23"
"22","2111969        Agostinho, Albano                                            BRA M                                1872  0   40 1963  i   ","2111969","Agostinho, Albano","BRA","1872","i","DEC23"
"23","22708758       Agrela, Joao Paulo Amorim                                    BRA M                                1597  0   40 2002  i   ","2270875","Agrela, Joao","BRA","1597","i","DEC23"
"24","22711856       Aguiar, Arthur Vinicius de Souza                             BRA M                                1495  0   40 2006  i   ","2271185","Aguiar, Arthur","BRA","1495","i","DEC23"
"25","22716262       Aguiar, Davi de Almeida                                      BRA M                                1643  0   20 2002  i   ","2271626","Aguiar, Davi","BRA","1643","i","DEC23"
"26","2128470        Aguiar, Djalma                                               BRA M                                1968  0   20 1956  i   ","2128470","Aguiar, Djalma","BRA","1968","i","DEC23"
"27","2132885        Aguiar, Jarbas Souza                                         BRA M                                1689  0   20 1978      ","2132885","Aguiar, Jarbas","BRA","1689",NA,"DEC23"
"28","22736123       Aguiar, Jose Carlos                                          BRA M                                1242  0   40 1949  i   ","2273612","Aguiar, Jose","BRA","1242","i","DEC23"
"29","2146150        Aguiar, Lucas Teodoro Barbosa                                BRA M                                1554  0   40 1997  i   ","2146150","Aguiar, Lucas","BRA","1554","i","DEC23"
"30","22708685       Aguiar, Luisa Oliveira                                       BRA F                                1228  0   40 2005  wi  ","2270868","Aguiar, Luisa","BRA","1228",NA,"DEC23"
